,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
B,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
C,0.7500000000000698,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
K,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
N,0.0,0.9500000000000004,0.9500000000000004,1.0,0.5454545454543822,1.0,1.0,0.5454545454543822,0.2500000000000003,1.0,1.0,1.0,0.9500000000000004,0.9500000000000004,1.0
