,0,1,2,3,4,5,6,7,8,9,10,11,12,13
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
G,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
H,1.0,0.0,0.0,0.7407407407407409,0.0,1.0,0.0,0.0,0.7407407407407409,1.0,1.0,0.2592592592592591,0.0,1.0
J,1.0,0.0,0.5454545454545454,0.0,0.88,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
