,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,0.0,0.0,0.0,1.0,0.0,1.0,0.049999999999950306,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
B,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
C,0.7500000000001092,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
K,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.950000000000079,1.0,1.0,1.0,1.0,1.0,1.0
M,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
N,0.0,0.9500000000000014,0.9500000000000015,1.0,0.5454545454543795,1.0,1.0,0.4045454545456219,0.0,1.0,1.0,1.0,0.9500000000000014,1.0,1.0
