clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
E,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.1875,1.0,1.0,0.10668563300142248,0.0
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
H,0.4,1.0,1.0,1.0,1.0,1.0,0.5217391304347826,0.0,0.0,0.0,0.4166666666666667,1.0,1.0,1.0,0.8378510378510379,1.0
J,0.4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8139204545454546,0.0,0.621072796934866,0.46153846153846156,1.0,1.0,0.41379310344827586,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
