,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
3,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.9999985591482006,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.9999985583148672,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4408517996056307e-06,0.9999971141297342,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.8869416945748212e-06,2.971131836904504e-06,2.2207441461559502e-06,1.0,0.0,0.0,0.0,8.75037236866286e-06,0.0,-0.0,0.9999912479609647
9,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
10,1.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,2.8850369326298914e-06,1.0
11,0.9999985591482005,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999971149630674,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0
B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
