,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,6.77864996412314e-06,0.0,0.0,-0.0,1.0,-0.0,1.0,0.0,0.0,1.0,6.77864996412314e-06,0.0,0.0,6.77864996412314e-06,0.0,1.0,0.0,0.0
E,0.0,-0.0,0.0,0.0,0.0,0.0,0.999993221350036,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.9999932213500359,0.0
F,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999932213500359,0.0
G,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,1.0,0.999993221350036,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.9999932213500359,0.0
