,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2970588235294117,9.251858538544595e-17,0.7029411764705882,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993,0.0,0.9500000000000002
I,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.026923076923076605,0.1730769230769234,0.0,0.0,0.0,0.3636363636363636,0.38636363636363635,0.0,3.2653618371334427e-18,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155138812507653e-17,-2.155138812507653e-17,1.0,0.0
