,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,3.939365289464562e-06
3,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,3.814697265625429e-06
5,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,3.814697265625429e-06
6,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,3.814697265625429e-06
7,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,3.814697265626286e-06,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,3.814697265625429e-06,-0.0
8,0.9999923706054688,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,3.814697265626286e-06,1.0,-0.0,1.0,0.0,-0.0,1.0,0.9999923707218841,-0.0,3.814697265625429e-06
9,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,0.0,5.729496479035069e-06
10,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,0.9999961853027343,1.0,1.0,0.0,5.729496479035069e-06
11,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,5.729496479035069e-06,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,6.382664044606949e-07,5.729496479035069e-06
12,-0.0,4.456275039247951e-06,1.0,0.0,4.456275039247957e-06,0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,6.382664044606949e-07,5.72949647903507e-06
13,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,1.2616316471747997e-06,0.9999981001019477,1.0,0.9999981001019479,1.0,0.0,0.9999993617335957,1.0,1.0,6.382664044606949e-07,5.72949647903507e-06
14,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,0.9999987267785602,-0.0,0.9999980967905784,1.0,0.9999968235691393,1.0,0.0,1.0,1.0,1.0,6.38266404490821e-07,5.729496479004942e-06
15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.9999968235691389,5.729496479004942e-06
16,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.9999968235691389,5.729496479035069e-06
17,1.2732214397871173e-06,1.2732214397871192e-06,1.0,0.0,1.273221439787115e-06,0.0,0.0,1.273221439773209e-06,1.2732214397871125e-06,1.2732214397871175e-06,1.0,1.2732214397871192e-06,1.0,0.0,1.2732214397871192e-06,1.0,1.2732214397871192e-06,-0.0,0.999994270503521
A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.299879818927323e-07,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.999994270503521
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.814697265625e-06,0.0
