,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04998959199881879,0.0,0.9500012244707271,3.6734121815898986e-06,5.510118272346828e-06,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D,0.0,0.0,0.0,0.0,0.0,2.5431315103796592e-06,0.0,0.13382897860762,0.05,0.0,0.0,0.14950435472571333,0.6666641235351562,0.0,0.0,0.0,0.0,0.0
G,0.0,3.8146972655764277e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999618530273436,0.0,0.0,0.0,0.0,0.0,0.95,0.0
