clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.8257575757575757,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9032258064516129,0.8,0.0,0.8888888888888888,0.0,1.0,1.0,0.0
B,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
C,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
D,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.42857142857142855,0.7596153846153846,1.0,0.6666666666666666,1.0,1.0,0.0
E,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,0.75,0.0,1.0,0.5928571428571429,0.8571428571428571,0.16346153846153846,0.8,0.75,0.6666666666666666,0.7272727272727273,0.4,0.0,0.16,0.5363636363636364,0.4,0.8,0.0
