clone_id,0,1,2,3,4,5,6,7,8,9,10,11
A,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,1.0,0.0
B,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7100840336134453,0.6666666666666666,1.0,0.0
C,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6458333333333333,0.0,1.0,0.0
D,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.6000000000000001,0.0,0.0,0.75,1.0,0.0
E,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0
F,1.0,0.9230769230769231,0.0,0.7894736842105263,0.5,0.0,0.7692307692307693,0.0,0.9230769230769231,0.631578947368421,1.0,0.6666666666666666
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0
I,1.0,0.0,0.0,0.75,0.0,0.0,0.6923076923076923,0.0,0.8181818181818181,0.6153846153846154,1.0,0.30833333333333335
J,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,1.0
K,0.0,0.0,0.0,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.0,1.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M,1.0,0.0,0.0,0.75,0.5,0.0,0.8571428571428571,0.0,1.0,0.6000000000000001,1.0,0.5
