clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0
E,0.6666666666666666,0.0,0.5714285714285714,0.0,0.7058823529411765,0.0,0.5279573367808662,0.5333333333333333,0.6428571428571428,1.0,0.09978070175438596,0.0,0.2222222222222222,0.3107692307692308,0.9073756432246998,0.0,0.0,0.75
G,1.0,0.0,0.0,0.0,0.0,0.8,0.5222567287784678,0.0,0.0,1.0,0.0,1.0,0.0,0.8,1.0,0.0,0.0,1.0
H,0.7533023735810114,0.0,0.0,0.5217391304347826,0.6971458773784356,0.6060606060606061,0.5601098901098902,0.42105263157894735,0.7342214747278039,1.0,0.6923076923076923,0.16410399776348894,0.0,0.7165587158546888,1.0,0.48,0.0,0.7142857142857143
J,0.6915954415954415,0.0,0.0,0.0,0.6206896551724138,0.5357142857142857,0.588436744560838,0.5714285714285714,0.6543040293040293,0.9750923645320196,0.42857142857142855,0.0,0.15,0.6029700196133371,0.9248337607023338,0.4,0.5714285714285714,0.6428571428571428
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
