,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.0,0.0,0.0,0.0,4.6169117477319425e-06,0.0,5.078179932260586e-06,0.0,0.0,0.0,3.9120548618127525e-06,0.2499849500685371,0.0,0.0,0.0,0.7500014427849211,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D,0.0,0.0,0.0,0.0,0.0,0.049994889373992955,5.078179932260586e-06,0.0,1.166125070388159e-06,0.04999942288603154,0.0,0.0,0.0,0.0,0.8999994434349728,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,4.6169117477319425e-06,0.0,5.078179932260586e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6483821177738172,0.0,0.0,0.3516081871345029,0.0
