,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,0.0,0.0,1.5515984269093294e-06,8.140578048937052e-06,0.0,0.04998982321470034,0.0,0.95
B,0.05,0.0,0.0,0.0,0.9,0.0,0.049989823214700184,9.692176475846382e-06,0.0,0.0
C,0.0,0.0,0.0,0.0,1.55159842696484e-06,8.14057804885318e-06,0.0,0.0,0.9999903078235242,0.0
D,0.0,0.0,0.0,0.0,0.9999918594219509,8.140578048992566e-06,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,1.5515984269648397e-06,8.140578048937055e-06,0.0,0.999990307823524,0.0,0.0
F,0.0,0.0,0.0,0.0,1.551598427075862e-06,8.140578048881544e-06,0.04997043886174854,9.692176475846382e-06,0.9500101767852995,0.0
G,0.0,0.9999903078235239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.692176475906733e-06
