,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
6,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.9999924036829173,-0.0,1.0,1.0,0.0,0.0,0.0,7.596317082747524e-06,0.0,5.745151814187735e-06
7,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0
9,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.9999923440196079,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.659300701715514e-06
10,-0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0
11,3.826323529411751e-06,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.837997735670658e-11,1.0
13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
