,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,1.0,0.0,-0.0,0.0,8.709511657767344e-06,1.0,-0.0,-0.0,8.709511657656321e-06,1.0,0.0,-0.0,-0.0,1.0,8.709511657800974e-06,-0.0,-0.0
5,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,0.9999912904883423,0.0,8.709511657767344e-06,-0.0
6,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,0.9999912904883423,-0.0,-0.0,-0.0
7,8.709511657767344e-06,1.0,0.0,-0.0,0.0,-0.0,1.0,8.709511657767344e-06,-0.0,1.0,1.0,0.0,0.0,-0.0,1.0,8.709511657767344e-06,8.709511657702954e-06,-0.0
8,-0.0,1.0,0.0,-0.0,0.0,0.9999912904883422,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,0.9999912904883422,-0.0,-0.0,-0.0
9,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9999912904883422
10,0.9999912904883422,1.0,0.0,-0.0,0.0,-0.0,1.0,8.709511657767344e-06,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9999912904883422
11,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,8.709511657767344e-06,1.0,0.0,-0.0,-0.0,8.709511657767344e-06,8.709511657767344e-06,-0.0,0.9999912904883422
12,0.9999912904883422,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,8.709511657656321e-06,1.0,0.0,-0.0,-0.0,8.709511657656321e-06,8.709511657767344e-06,1.0,0.9999912904883422
B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.709511657767344e-06,0.0,0.9999912904883422
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.709511657767344e-06,1.0,0.0,0.0,0.0,1.0,8.709511657767344e-06,0.0,0.0
