,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.7681818181818183,0.0,0.0,0.0,0.18181818181818177,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D,0.0,0.0,0.0,0.0,0.0,0.18383152173913042,0.0,0.14948678755574052,7.512019231215028e-06,0.0,0.0,0.0,0.6666666666666666,7.512019231215028e-06,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483918128654971,0.0,0.0,0.0,0.0,0.0,0.043915879442195216,0.3076923076923077,0.0
