,0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.8,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.9999923706054688,7.62939453125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,-1.249000902703301e-16,0.0,1.3877787807814457e-17,0.0,0.07773892773892811,0.0,0.0,0.0,0.0,0.8722610722610722,0.0,0.04999999999999982
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J,-2.220412167932423e-17,0.0,2.220412167932423e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
