,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17918008978882613,0.0,0.0,0.0,0.07081991021117387,0.75,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,3.8146389460536057e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996185361054
D,0.0,0.0,0.0,0.0,0.0,0.0,0.18383152173913042,0.0,0.0,0.8161684782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999997084453,0.0,0.0,0.0,0.0,0.0,0.34064697611916955,0.13316254774720787,0.47619047616277815,0.0
