,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
B,0.0,0.0,0.0,0.37500000000000033,0.75,0.8823529411764706,1.0,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.37500000000000033
C,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
E,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06562822462673075,0.0,1.0,0.6000000000000001,0.9999980842324663,0.0,0.0,1.0,0.0,0.6000000000000001,1.0
G,0.0,0.9999999999999999,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
I,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
J,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
K,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4285736180200385,0.0,0.0,1.0,0.0,0.0,1.0
